Dpto.;Bodega;Unds;Costo neto;Fecha
ATLANTICO;00201;2;1292;46255
ATLANTICO;00201;1;3932,5;46255
ATLANTICO;00201;1;3932,5;46255
ATLANTICO;00201;1;11507;46255
ATLANTICO;00201;1;11507;46255
ATLANTICO;00201;1;1193,2;46255
ATLANTICO;00201;3;2159,25;46255
ATLANTICO;00201;1;719,75;46255
ATLANTICO;00201;4;2879;46255
ATLANTICO;00201;2;12949,78;46255
ATLANTICO;00201;1;1500,23;46255
ATLANTICO;00201;1;1500;46255
ATLANTICO;00201;1;1500;46255
ATLANTICO;00201;1;4299;46255
ATLANTICO;00201;1;2587,19;46255
ATLANTICO;00201;2;1897,74;46255
ATLANTICO;00201;1;966,77;46255
ATLANTICO;00201;2;4561,7;46255
ATLANTICO;00201;1;5450,04;46255
ATLANTICO;00201;1;7024,01;46255
ATLANTICO;00201;11;82451,49;46255
ATLANTICO;00601;11;24672,01;46255
ATLANTICO;00601;2;2036;46255
ATLANTICO;00601;1;2686,61;46255
ATLANTICO;00601;5;1020,25;46255
ATLANTICO;00601;4;1410,52;46255
ATLANTICO;00601;4;2044,08;46255
ATLANTICO;00601;1;852,81;46255
ATLANTICO;00601;1;5875;46255
ATLANTICO;00601;1;5875;46255
ATLANTICO;00601;1;5875;46255
ATLANTICO;00601;1;720,36;46255
ATLANTICO;00601;57;17722,44;46255
ATLANTICO;00601;12;68509,56;46255
ATLANTICO;00601;1;6650,62;46255
ATLANTICO;00601;34;226281,22;46255
ATLANTICO;00601;6;25211,46;46255
CESAR;00701;2;4547,28;46255
CESAR;00701;2;4547,28;46255
CESAR;00701;3;788,01;46255
CESAR;00701;1;9280,7;46255
CESAR;00701;1;3166;46255
CESAR;00701;2;6332;46255
CESAR;00701;1;3500;46255
CESAR;00701;1;8991,59;46255
CESAR;00701;1;5500;46255
CESAR;00701;1;1766;46255
CESAR;00701;3;1657,2;46255
CESAR;00701;4;3036;46255
CESAR;00701;1;9600;46255
CESAR;00701;1;18265,58;46255
CESAR;00701;3;9831;46255
MAGDALENA;01101;1;731,25;46255
ATLANTICO;01201;18;7026,48;46255
ATLANTICO;01201;18;7026,48;46255
ATLANTICO;01201;18;7026,48;46255
ATLANTICO;01201;1;12600;46255
ATLANTICO;01201;40;10520;46255
ATLANTICO;01201;4;4820;46255
ATLANTICO;01201;1;4931;46255
ATLANTICO;01201;2;6034;46255
ATLANTICO;01201;2;5098,54;46255
ATLANTICO;01201;1;5984,21;46255
CESAR;01301;2;3600;46255
CESAR;01301;1;1440;46255
CESAR;01301;1;7070;46255
BOLIVAR;01801;7;4234,93;46255
BOLIVAR;01801;10;4037,9;46255
BOLIVAR;01801;2;6900;46255
BOLIVAR;01801;1;7959;46255
BOLIVAR;01801;2;15918;46255
BOLIVAR;01801;1;1830,36;46255
BOLIVAR;01801;1;6805,75;46255
BOLIVAR;01801;1;2445,32;46255
BOLIVAR;01801;1;3624,6;46255
BOLIVAR;01801;1;3175;46255
BOLIVAR;01801;1;2666,27;46255
CORDOBA;01901;28;4430,16;46255
CORDOBA;01901;1;1740;46255
CORDOBA;01901;1;8700;46255
CORDOBA;01901;1;5814,44;46255
CORDOBA;01901;3;12600;46255
CORDOBA;01901;1;4200;46255
CORDOBA;01901;1;7725,78;46255
SUCRE;02201;1;2464,81;46255
SUCRE;02201;2;4929,62;46255
SUCRE;02201;1;646;46255
SUCRE;02201;1;644,26;46255
SUCRE;02201;2;4300;46255
SUCRE;02201;1;1661;46255
SUCRE;02201;1;582,67;46255
SUCRE;02201;2;2040;46255
SUCRE;02201;1;1255,22;46255
SUCRE;02201;3;3765,66;46255
SUCRE;02201;2;1470,06;46255
SUCRE;02201;1;21423;46255
SUCRE;02201;1;21423;46255
SUCRE;02201;3;49541,55;46255
SUCRE;02201;1;2521;46255
SUCRE;02201;2;3962;46255
SUCRE;02201;4;2394,96;46255
SUCRE;02201;1;1849;46255
SUCRE;02201;2;3698;46255
SUCRE;02201;3;6448,38;46255
SUCRE;02201;1;952;46255
SUCRE;02201;1;3476;46255
SUCRE;02201;1;9608,96;46255
SUCRE;02201;1;528,32;46255
SUCRE;02201;9;4754,88;46255
SUCRE;02201;1;2777,09;46255
SUCRE;02201;1;2024,88;46255
SUCRE;02201;1;17877;46255
SUCRE;02201;1;876,74;46255
SUCRE;02201;1;6975,23;46255
SUCRE;02201;1;1097,19;46255
SUCRE;02201;1;12605,25;46255
